Timestamp,Gender?,Age?,Favourite Food Category?,Religion?,What is your monthly allowance and/or salary? (PKR Rs),You are studying (or what you would like to study in the future OR what you studied)...,You are more...,Favourite music genre? ,Favourite movie genre?,What gift would you love to receive the most out of these options? 
8/9/2020 18:36,Female,22,Fast Food,Islam,Less than 15000,Mathematics/Statistics,Introverted,Classical music,Comedy,Watch
8/9/2020 18:37,Male,25,Rice,Islam,15000 - 25000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Extroverted,Country music,Comedy,laptop
8/9/2020 18:37,Female,22,Fast Food,Islam,Less than 15000,Mathematics/Statistics,Introverted,Classical music,Comedy,Watch
8/9/2020 18:37,Female,22,Rice,Islam,Less than 15000,Engineering and Technology,Introverted,Country music,Horror,Watch
8/9/2020 18:37,Female,23,Rice,Islam,25000 - 50000,Philosophy/Theology,Extroverted,Other,Science fiction,Return Tickets (Tours)
8/9/2020 18:37,Male,24,Rice,Islam,50000 - 100000,Engineering and Technology,Introverted,Country music,Historical,Watch
8/9/2020 18:40,Female,24,Fast Food,Islam,Less than 15000,Engineering and Technology,Introverted,Pop music,Comedy,Guitar
8/9/2020 18:40,Male,35,Rice,Islam,50000 - 100000,Engineering and Technology,Extroverted,Rock,Comedy,Watch
8/9/2020 18:41,Female,24,Rice,Islam,Less than 15000,Engineering and Technology,Extroverted,Classical music,Science fiction,Smart Phone
8/9/2020 18:42,Female,24,Fast Food,Islam,Less than 15000,Engineering and Technology,Introverted,Pop music,Historical,Makeup
8/9/2020 18:42,Female,22,Meat,Islam,Less than 15000,Engineering and Technology,Extroverted,Pop music,Comedy,Diamond Ring
8/9/2020 18:43,Female,25,Rice,Islam,Less than 15000,Law,Introverted,Hip hop music,Comedy,Watch
8/9/2020 18:44,Male,17,Rice,Islam,Less than 15000,Languages and literature,Introverted,Other,Comedy,laptop
8/9/2020 18:46,Female,25,Rice,Islam,15000 - 25000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Extroverted,Hip hop music,Science fiction,Cars
8/9/2020 18:46,Female,19,Fast Food,Islam,Less than 15000,Engineering and Technology,Introverted,Pop music,Comedy,laptop
8/9/2020 18:46,Female,19,Fast Food,Islam,Less than 15000,Engineering and Technology,Introverted,Pop music,Comedy,laptop
8/9/2020 18:46,Female,23,Fruits,Islam,15000 - 25000,Engineering and Technology,Introverted,Other,Mystery,Perfume/Cologne
8/9/2020 18:47,Male,22,Meat,Islam,Less than 15000,Engineering and Technology,Introverted,Hip hop music,Thriller,IT gadget
8/9/2020 18:47,Male,24,Rice,Islam,25000 - 50000,Engineering and Technology,Extroverted,Hip hop music,Science fiction,IT gadget
8/9/2020 18:47,Female,19,Fast Food,Islam,Less than 15000,Engineering and Technology,Introverted,Pop music,Comedy,laptop
8/9/2020 18:48,Male,23,Meat,Islam,Less than 15000,Medicine and health,Extroverted,Other,Action,Watch
8/9/2020 18:49,Male,37,Meat,Islam,25000 - 50000,Languages and literature,Introverted,Other,Action,Watch
8/9/2020 18:49,Female,24,Fast Food,Islam,Less than 15000,Engineering and Technology,Extroverted,Other,Comedy,Perfume/Cologne
8/9/2020 18:51,Female,22,Fruits,Islam,Less than 15000,Engineering and Technology,Extroverted,Classical music,Romance,Diamond Ring
8/9/2020 18:52,Female,21,Fruits,Islam,Less than 15000,Engineering and Technology,Extroverted,Other,Historical,Makeup
8/9/2020 18:52,Male,25,Fruits,Islam,50000 - 100000,Engineering and Technology,Introverted,Pop music,Action,laptop
8/9/2020 18:54,Female,29,Vegetables,Islam,50000 - 100000,Engineering and Technology,Extroverted,Other,Action,Cookbook
8/9/2020 18:55,Female,25,Fast Food,Islam,15000 - 25000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Introverted,Pop music,Romance,Movie Tickets
8/9/2020 18:55,Female,26,Vegetables,Islam,15000 - 25000,Medicine and health,Introverted,Pop music,Comedy,Diamond Ring
8/9/2020 18:55,Female,21,Rice,Islam,15000 - 25000,Engineering and Technology,Introverted,Pop music,Romance,Watch
8/9/2020 18:56,Male,46,Rice,Islam,50000 - 100000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Introverted,Country music,Comedy,Wallet/Purse
8/9/2020 18:56,Female,26,Fruits,Islam,15000 - 25000,"Natural Sciences (Biology, Chemistry, Physics etc.)",Extroverted,Classical music,Romance,Return Tickets (Tours)
8/9/2020 18:57,Male,27,Meat,Islam,50000 - 100000,Mathematics/Statistics,Introverted,Classical music,Action,Car
8/9/2020 18:58,Male,26,Fruits,Islam,25000 - 50000,Engineering and Technology,Extroverted,Other,Historical,Smart Phone
8/9/2020 18:59,Female,41,Fast Food,Islam,Less than 15000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Introverted,Classical music,Drama,Gucci Bags/ Perfume
8/9/2020 19:00,Male,13,Fast Food,Islam,Less than 15000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Introverted,Other,Action,Xbox One S Bundle
8/9/2020 19:01,Male,24,Appetizer,Islam,15000 - 25000,Engineering and Technology,Extroverted,Rock,Romance,IT gadget
8/9/2020 19:02,Female,46,Meat,Islam,Less than 15000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Introverted,Classical music,Drama,Smart Phone
8/9/2020 19:02,Female,16,Fruits,Islam,Less than 15000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Introverted,Rock,Action,Watch
8/9/2020 19:03,Female,75,Fruits,Islam,Less than 15000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Introverted,Classical music,Drama,Gold Necklace
8/9/2020 19:05,Male,25,Meat,Islam,50000 - 100000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Introverted,Rock,Action,IT gadget
8/9/2020 19:10,Male,23,Rice,Islam,Less than 15000,Engineering and Technology,Introverted,Other,Historical,IT gadget
8/9/2020 19:11,Female,23,Fast Food,Islam,15000 - 25000,Engineering and Technology,Extroverted,Pop music,Horror,Gold Necklace
8/9/2020 19:11,Female,25,Fast Food,Islam,Less than 15000,Mathematics/Statistics,Introverted,Hip hop music,Horror,A good novel
8/9/2020 19:13,Female,24,Rice,Islam,25000 - 50000,Engineering and Technology,Extroverted,Rock,Comedy,Flowers
8/9/2020 19:15,Male,29,Rice,Islam,25000 - 50000,Engineering and Technology,Introverted,Country music,Horror,Flowers
8/9/2020 19:15,Female,85,Fruits,Islam,Less than 15000,Design and Arts (Performing Arts/Visual Arts/Architecture/Graphic Design etc.),Extroverted,Classical music,Drama,Personal Charging Hub
8/9/2020 19:15,Male,30,Meat,Islam,50000 - 100000,Mathematics/Statistics,Introverted,Other,Political,Cars
8/9/2020 19:18,Male,89,Fruits,Islam,25000 - 50000,"Social Sciences (Economics, History, Geography, Psychology, Sociology etc.)",Extroverted,Country music,Political,Signature Mug
8/9/2020 19:18,Male,23,Rice,Islam,Less than 15000,Engineering and Technology,Introverted,Classical music,Historical,IT gadget
8/9/2020 19:20,Male,53,Meat,Islam,50000 - 100000,Mathematics/Statistics,Extroverted,Country music,Political,Cars
8/9/2020 19:21,Female,22,Fruits,Hinduism,Less than 15000,"Social Sciences (Economics, History, Geography, Psychology, Sociology etc.)",Introverted,Classical music,Mystery,Watch
8/9/2020 19:22,Male,25,Fast Food,Islam,25000 - 50000,"Social Sciences (Economics, History, Geography, Psychology, Sociology etc.)",Extroverted,Classical music,Science fiction,Bike
8/9/2020 19:24,Female,23,Meat,Islam,15000 - 25000,Engineering and Technology,Introverted,Classical music,Science fiction,Makeup
8/9/2020 19:25,Female,32,Fruits,Christianity,15000 - 25000,Engineering and Technology,Introverted,Pop music,Comedy,Watch
8/9/2020 19:26,Male,20,Meat,Islam,25000 - 50000,Engineering and Technology,Extroverted,Other,Comedy,Watch
8/9/2020 19:27,Male,21,Meat,Islam,50000 - 100000,Engineering and Technology,Extroverted,Other,Comedy,IT gadget
8/9/2020 19:27,Female,23,Rice,Islam,25000 - 50000,Business,Introverted,Other,Fantasy,laptop
